BIBLE	DECIMAL	UCHAR	HEX	PLANE	COUNT	BOOK	CHAPTER	VERSE	TEXT
Holy-Bible---Abureni---Abureni-Bible	69	E	45	Basic Latin 	877	MAT	001	002	Ebraham amar Azi̠ki̠; sa̠ Azi̠ki̠ amar A̠zeko̠pu̠; sa̠ A̠zeko̠pu̠ amar A̠zuda̠ na̠ a̠rumor d̠o̠yo̠;
Holy-Bible---Abureni---Abureni-Bible	98	b	62	Basic Latin 	19545	MAT	001	002	Ebraham amar Azi̠ki̠; sa̠ Azi̠ki̠ amar A̠zeko̠pu̠; sa̠ A̠zeko̠pu̠ amar A̠zuda̠ na̠ a̠rumor d̠o̠yo̠;
Holy-Bible---Abureni---Abureni-Bible	114	r	72	Basic Latin 	13720	MAT	001	002	Ebraham amar Azi̠ki̠; sa̠ Azi̠ki̠ amar A̠zeko̠pu̠; sa̠ A̠zeko̠pu̠ amar A̠zuda̠ na̠ a̠rumor d̠o̠yo̠;
Holy-Bible---Abureni---Abureni-Bible	97	a	61	Basic Latin 	81536	MAT	001	002	Ebraham amar Azi̠ki̠; sa̠ Azi̠ki̠ amar A̠zeko̠pu̠; sa̠ A̠zeko̠pu̠ amar A̠zuda̠ na̠ a̠rumor d̠o̠yo̠;
Holy-Bible---Abureni---Abureni-Bible	104	h	68	Basic Latin 	18715	MAT	001	002	Ebraham amar Azi̠ki̠; sa̠ Azi̠ki̠ amar A̠zeko̠pu̠; sa̠ A̠zeko̠pu̠ amar A̠zuda̠ na̠ a̠rumor d̠o̠yo̠;
Holy-Bible---Abureni---Abureni-Bible	109	m	6d	Basic Latin 	21562	MAT	001	002	Ebraham amar Azi̠ki̠; sa̠ Azi̠ki̠ amar A̠zeko̠pu̠; sa̠ A̠zeko̠pu̠ amar A̠zuda̠ na̠ a̠rumor d̠o̠yo̠;
Holy-Bible---Abureni---Abureni-Bible	32	 	20	Basic Latin 	100078	MAT	001	002	Ebraham amar Azi̠ki̠; sa̠ Azi̠ki̠ amar A̠zeko̠pu̠; sa̠ A̠zeko̠pu̠ amar A̠zuda̠ na̠ a̠rumor d̠o̠yo̠;
Holy-Bible---Abureni---Abureni-Bible	65	A	41	Basic Latin 	4197	MAT	001	002	Ebraham amar Azi̠ki̠; sa̠ Azi̠ki̠ amar A̠zeko̠pu̠; sa̠ A̠zeko̠pu̠ amar A̠zuda̠ na̠ a̠rumor d̠o̠yo̠;
Holy-Bible---Abureni---Abureni-Bible	122	z	7a	Basic Latin 	4634	MAT	001	002	Ebraham amar Azi̠ki̠; sa̠ Azi̠ki̠ amar A̠zeko̠pu̠; sa̠ A̠zeko̠pu̠ amar A̠zuda̠ na̠ a̠rumor d̠o̠yo̠;
Holy-Bible---Abureni---Abureni-Bible	105	i	69	Basic Latin 	42193	MAT	001	002	Ebraham amar Azi̠ki̠; sa̠ Azi̠ki̠ amar A̠zeko̠pu̠; sa̠ A̠zeko̠pu̠ amar A̠zuda̠ na̠ a̠rumor d̠o̠yo̠;
